question,result,context
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title | Description | Variety | Country | Region | Winery | Province |
| Fitz-Ritter 2006 Beerenauslese Rieslaner (Pfalz) | An intensely botrytized wine with dried apricot aromas and orange marmalade flavors. | Rieslaner | Germany | Pfalz | Fitz-Ritter | Pfalz |","Country: Germany, Description: Delightfully fun and refreshing, this perlwein, or lightly sparkling white, is Germany's answer to Italian prosecco. Made from Müller-Thurgau grapes, it's gorgeously floral, but with a chalky, earthen tang. Sprightly acidity and a fresh, green touch lends vibrance to a moderately long finish., Designation: Perlwein Trocken, Points: 90.0, Price: 19.0, Province: Rheinhessen, Title: Fritz Müller NV Perlwein Trocken Müller-Thurgau (Rheinhessen), Variety: Müller-Thurgau, Winery: Fritz Müller, Region: Rheinhessen, Style1: Müller-Thurgau - Rheinhessen, Style2: Müller-Thurgau - Rheinhessen, Style3: Müller-Thurgau - Germany Country: Germany, Description: A pretty, vibrant Pinot Noir from southern Germany, featuring strawberry and raspberry fruit, some slightly herbal nuances and a bright, lively finish. Drink now–2013., Designation: Trocken, Points: 86.0, Price: 28.0, Province: Württemberg, Title: Grafen Neipperg 2008 Trocken Spätburgunder (Württemberg), Variety: Spätburgunder, Winery: Grafen Neipperg, Region: Württemberg, Style1: Spätburgunder - Württemberg, Style2: Spätburgunder - Württemberg, Style3: Spätburgunder - Germany Country: Germany, Description: Blossomy fresh with a bounty of crisp white peach and apricot flavor, this sprightly Weissburgunder, or Pinot Blanc, is the embodiment of spring. Lively and light-footed, it's an invigorating thirst quencher finishing on a zesty spray of lime and mineral., Designation: Gutswein Trocken, Points: 91.0, Price: 22.0, Province: Rheinhessen, Title: Wagner-Stempel 2014 Gutswein Trocken Weissburgunder (Rheinhessen), Variety: Weissburgunder, Winery: Wagner-Stempel, Region: Rheinhessen, Style1: Weissburgunder - Rheinhessen, Style2: Weissburgunder - Rheinhessen, Style3: Weissburgunder - Germany Country: Germany, Description: A good if somewhat generic red wine, blended from Dornfelder, Cabernet Sauvignon and Dunkelfelder. It delivers black cherry fruit, medium body and soft tannins., Designation: Red, Points: 85.0, Price: 14.0, Province: Pfalz, Title: Flying Ace 2006 Red Red (Pfalz), Variety: Red Blend, Winery: Flying Ace, Region: Pfalz, Style1: Red Blend - Pfalz, Style2: Red Blend - Pfalz, Style3: Red Blend - Germany Country: Germany, Description: Verging on orange in color, this intensely botrytized wine from one of Germany's unique grape varieties is thick, almost chewy with extract and sugar. Dried apricot aromas lead into orange marmalade flavors with an almost burnt, caramelized quality. Finishes long, with a hint of bitterness that helps balance some of the intense sweetness., Designation: Beerenauslese, Points: 90.0, Price: 47.0, Province: Pfalz, Title: Fitz-Ritter 2006 Beerenauslese Rieslaner (Pfalz), Variety: Rieslaner, Winery: Fitz-Ritter, Region: Pfalz, Style1: Rieslaner - Pfalz, Style2: Rieslaner - Pfalz, Style3: Rieslaner - Germany Country: Germany, Description: Muscat comes through loud and clear, offering up aromas redolent of oranges, citrus blossom and spice. It's light in body and off-dry, with refreshing fruit flavors of oranges and nectarines. This would make a fine summertime picnic wine., Designation: Neipperger Schlossberg Spätlese, Points: 89.0, Price: 34.0, Province: Württemberg, Title: Grafen Neipperg 2007 Neipperger Schlossberg Spätlese Muskateller (Württemberg), Variety: Muskateller, Winery: Grafen Neipperg, Region: Württemberg, Style1: Muskateller - Württemberg, Style2: Muskateller - Württemberg, Style3: Muskateller - Germany Country: Germany, Description: Sunny yellow peaches, apples and nuts perfume this bright lemon-fresh Weissburgunder, or Pinot Blanc. A whisper of herbs lends savoriness to crisp apple, pear and citrus flavors on the palate. It's a straightforward yet refreshing and elegant wine., Designation: Trocken, Points: 88.0, Price: 19.0, Province: Rheinhessen, Title: Thörle 2013 Trocken Weissburgunder (Rheinhessen), Variety: Weissburgunder, Winery: Thörle, Region: Rheinhessen, Style1: Weissburgunder - Rheinhessen, Style2: Weissburgunder - Rheinhessen, Style3: Weissburgunder - Germany Country: Germany, Description: Darker tones of spice and crushed minerals lend complexity to pretty white blossom, lemon and stone fruit flavors. A streak of lime and lemongrass adds refreshment and vibe to the midpalate, leaving the finish brisk and bright., Designation: Schwarzer Adler, Points: 88.0, Price: 25.0, Province: Baden, Title: Franz Keller 2013 Schwarzer Adler Pinot Blanc (Baden), Variety: Pinot Blanc, Winery: Franz Keller, Region: Baden, Style1: Pinot Blanc - Baden, Style2: Pinot Blanc - Baden, Style3: Pinot Blanc - Germany Country: Germany, Description: Intensely peachy from nose to finish, this sprightly semisweet sip offers loads of juicy fruity enjoyment. It's easy going and slightly candied on the palate but finishes crisply., Designation: Weinkellerei Kabinett, Points: 86.0, Price: 13.0, Province: Rheinhessen, Title: Leonard Kreusch 2016 Weinkellerei Kabinett White (Rheinhessen), Variety: White Blend, Winery: Leonard Kreusch, Region: Rheinhessen, Style1: White Blend - Rheinhessen, Style2: White Blend - Rheinhessen, Style3: White Blend - Germany Country: Germany, Description: An intensely purple hue and whiffs of vanilla and cherry cola make this ruddy, rich wine stand out in a line-up of German red blends. The palate is unabashedly forward and fruity, with a slightly grapy tone, framed in soft, slightly bitter tannins., Designation: Mettenheimer Rheinhessen Red Estate Bottled, Points: 86.0, Price: 14.0, Province: Rheinhessen, Title: Schäfer 2013 Mettenheimer Rheinhessen Red Estate Bottled Red (Rheinhessen), Variety: Red Blend, Winery: Schäfer, Region: Rheinhessen, Style1: Red Blend - Rheinhessen, Style2: Red Blend - Rheinhessen, Style3: Red Blend - Germany Country: Germany, Description: A surprising whiff of black currant on the nose of this elegant white points to Scheurebe—one of Germany's lesser-known grapes. Wittmann's version is particularly poised, offering loads of peach and grapefruit flavors, sharply contrasted by zesty lime and mineral tones. The finish is long and sleek, touched by a hint of bee pollen., Designation: Trocken, Points: 91.0, Price: 30.0, Province: Rheinhessen, Title: Wittmann 2015 Trocken Scheurebe (Rheinhessen), Variety: Scheurebe, Winery: Wittmann, Region: Rheinhessen, Style1: Scheurebe - Rheinhessen, Style2: Scheurebe - Rheinhessen, Style3: Scheurebe - Germany Country: Germany, Description: Offering buoyantly fresh fruit and mineral intensity, this Pinot Noir rosé is well worth finding in quantity to enjoy year-round, not just as a summer quaffer. Zesty acidity and a light, finely textured body are amplified by plump, fresh raspberry and peach flavors. Its briskly mineral finish is exhilarating., Designation: Schwarzer Adler, Points: 91.0, Price: 25.0, Province: Baden, Title: Franz Keller 2015 Schwarzer Adler Rosé (Baden), Variety: Rosé, Winery: Franz Keller, Region: Baden, Style1: Rosé - Baden, Style2: Rosé - Baden, Style3: Rosé - Germany Country: Germany, Description: Hints of summer strawberry and peach show prominently in this medium-sweet white blend. It's a touch confected in sweetness, but light bodied and easy drinking. The finish is brisk., Designation: Weinkellerei Auslese, Points: 85.0, Price: 14.0, Province: Rheinhessen, Title: Leonard Kreusch 2016 Weinkellerei Auslese White (Rheinhessen), Variety: White Blend, Winery: Leonard Kreusch, Region: Rheinhessen, Style1: White Blend - Rheinhessen, Style2: White Blend - Rheinhessen, Style3: White Blend - Germany Country: Germany, Description: Weissburgunder, or Pinot Blanc, can be a rather subdued grape. But it's delightfully bright and zippy here, boasting sunny shades of apricot, grapefruit and tangerine offset against dazzling lemon-lime acidity. It's brisk and cutting on the palate yet finishes with persistence., Designation: Trocken, Points: 92.0, Price: 22.0, Province: Rheinhessen, Title: Thörle 2016 Trocken Weissburgunder (Rheinhessen), Variety: Weissburgunder, Winery: Thörle, Region: Rheinhessen, Style1: Weissburgunder - Rheinhessen, Style2: Weissburgunder - Rheinhessen, Style3: Weissburgunder - Germany Country: Germany, Description: Delicate aromas of crisp green apples, pear and white peach abound on this lean but concentrated Pinot Gris. Dry and spry, the palate is honed on minerality and refreshment. Enjoy now for its vitality and youth., Designation: Schwarzer Adler, Points: 89.0, Price: 25.0, Province: Baden, Title: Franz Keller 2014 Schwarzer Adler Pinot Gris (Baden), Variety: Pinot Gris, Winery: Franz Keller, Region: Baden, Style1: Pinot Gris - Baden, Style2: Pinot Gris - Baden, Style3: Pinot Gris - Germany"
"I enjoy bold flavors, could you recommend a robust red wine?","| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Rare NV 4 Grape Blend Red (California) | A good, robust red wine with tobacco, cherry and spice flavors. Pairs well with tacos and burgers. | Red Blend | US | California | Rare | California |
| Longoria 2007 Blues Cuvée Red (Santa Barbara County) | A robust Bordeaux blend with berries, cherries, currants, leather and herbs. Pairs well with steak. | Red Blend | US | Santa Barbara | Longoria | California |
| Rust en Vrede 2004 Estate Shiraz (Stellenbosch) | A robust and stylish choice with muscular spice, deep red berry and blackberry. | Shiraz | South Africa | Stellenbosch | Rust en Vrede | Stellenbosch |
| Col d'Orcia 2010 Poggio al Vento Riserva  (Brunello di Montalcino) | A robust red with aromas of underbrush, scorched earth, truffle, grilled herb and a balsamic note. | Sangiovese | Italy | Brunello di Montalcino | Col d'Orcia | Tuscany |
| Herdade dos Machados 2007 Reserva Red (Alentejo) | A bold, powerful wine, showing smooth, mature black-fruit flavors and rich tannins. | Portuguese Red | Portugal | Alentejo | Herdade dos Machados | Alentejo |","Country: US, Description: Here's a good, robust red wine. It's made in a country-style, with tobacco, cherry and spice flavors and a jagged mouthfeel. Drink it with tacos and burgers., Designation: 4 Grape Blend, Points: 84.0, Price: 10.0, Province: California, Title: Rare NV 4 Grape Blend Red (California), Variety: Red Blend, Winery: Rare, Region: California, Style1: Red Blend - California, Style2: Red Blend - California, Style3: Red Blend - California Country: US, Description: Fire up the grill, or pan fry a juicy steak to eat with this robust red wine, a Bordeaux blend with 24% Syrah. It's bone dry and tannic and juicy in berries, cherries, currants, leather and herbs, and while it's an easy sipper, the structure was harder to achieve than you might think., Designation: Blues Cuvée, Points: 87.0, Price: 28.0, Province: California, Title: Longoria 2007 Blues Cuvée Red (Santa Barbara County), Variety: Red Blend, Winery: Longoria, Region: Santa Barbara, Style1: Red Blend - California, Style2: Red Blend - Santa Barbara, Style3: Red Blend - Santa Barbara Country: US, Description: Robust and country-style, this is a nice wine for barbecue and beef stews. Very dry and tannic, it shows harmonious flavors of blackberries, currants and wild nettles. Buy this young wine for your full-bodied house red., Designation: Saxy, Points: 87.0, Price: 12.0, Province: California, Title: R & B Cellars 2006 Saxy Syrah (North Coast), Variety: Syrah, Winery: R & B Cellars, Region: North Coast, Style1: Syrah - California, Style2: Syrah - North Coast, Style3: Syrah - North Coast Country: South Africa, Description: Muscular spice, deep red berry and blackberry and sturdy tannins give this strength and elegance. The fruit is assertive and delicious, the mouthfeel fresh and the finish lingering. Could use a few years of aging for extra character, but today, a robust and stylish choice., Designation: Estate, Points: 90.0, Price: 27.0, Province: Stellenbosch, Title: Rust en Vrede 2004 Estate Shiraz (Stellenbosch), Variety: Shiraz, Winery: Rust en Vrede, Region: Stellenbosch, Style1: Shiraz - Stellenbosch, Style2: Shiraz - Stellenbosch, Style3: Shiraz - South Africa Country: US, Description: A robust, spicy wine that offers lots of bang for the buck. The flavors range from lush raspberries and red cherries up through blackberries and currants, veering into mocha, and there's lots of crushed black pepper. Easy to like with steak, lamb, Mexican food., Designation: The Slammer, Points: 88.0, Price: 14.0, Province: California, Title: Big House 2008 The Slammer Syrah (Central Coast), Variety: Syrah, Winery: Big House, Region: Central Coast, Style1: Syrah - California, Style2: Syrah - Central Coast, Style3: Syrah - Central Coast Country: Italy, Description: You'll find aromas suggesting underbrush, scorched earth, truffle, grilled herb and a balsamic note on this robust red. The brawny palate evokes dried black cherry, prune, licorice and tobacco alongside chewy tannins and the heat of evident alcohol. Let the muscular tannins unwind for a few more years then drink sooner rather than later to capture the remaining fruit., Designation: Poggio al Vento Riserva, Points: 90.0, Price: 150.0, Province: Tuscany, Title: Col d'Orcia 2010 Poggio al Vento Riserva  (Brunello di Montalcino), Variety: Sangiovese, Winery: Col d'Orcia, Region: Brunello di Montalcino, Style1: Sangiovese - Tuscany, Style2: Sangiovese - Tuscany, Style3: Sangiovese - Italy Country: Italy, Description: Appropriately named “Passion,” this hearty red wine expresses itself with opulence and generosity. Bold fruit layers of blackberry and cherry liqueur are framed by spice and chewy pipe tobacco. There's a ripe, syrupy feel in the mouth, with loads of jammy fruit on the close., Designation: Passione, Points: 88.0, Price: unknown, Province: Southern Italy, Title: Vigne & Vini 2008 Passione  (Primitivo del Salento), Variety: Primitivo, Winery: Vigne & Vini, Region: Primitivo del Salento, Style1: Primitivo - Southern Italy, Style2: Primitivo - Southern Italy, Style3: Primitivo - Italy Country: US, Description: Bold and full bodied, packed with ripe blackberry, dark chocolate and spice flavors, this wine is also mouth-coating due to fine, soft tannins and a hint of sweetness. It will be fun for people who enjoy drama in their wine, but needs to be tamed by a juicy steak or the equivalent., Designation: Roadside, Points: 89.0, Price: 14.0, Province: California, Title: Victor Vineyards 2013 Roadside Red (Lodi), Variety: Red Blend, Winery: Victor Vineyards, Region: Lodi, Style1: Red Blend - California, Style2: Red Blend - Lodi, Style3: Red Blend - Lodi Country: US, Description: Hints of spice and leather add a savory tone to red cherry and plum flavors in this bold but elegantly structured red wine. The palate is juicy with fruit, but accented with a spray of green herbs and brisk acidity that lend freshness., Designation: Jubilant Reserve, Points: 88.0, Price: 45.0, Province: New York, Title: Jamesport 2007 Jubilant Reserve Red (North Fork of Long Island), Variety: Red Blend, Winery: Jamesport, Region: North Fork of Long Island, Style1: Red Blend - New York, Style2: Red Blend - New York, Style3: Red Blend - New York Country: US, Description: Boldly flavored and slightly sweet, this blend of mostly Merlot and Cabernet Sauvignon smells jammy, tastes ripe and juicy and has a fairly smooth texture with a touch of tannin. The flavors resemble black berry and sweet red cherry, the body is full and the finish is fruity., Designation: Wisdom of Wise, Points: 85.0, Price: 32.0, Province: California, Title: Wise Villa 2013 Wisdom of Wise Red (Placer County), Variety: Red Blend, Winery: Wise Villa, Region: Placer, Style1: Red Blend - California, Style2: Red Blend - Placer, Style3: Red Blend - Placer Country: US, Description: Bold, concentrated and spiced with some new oak aromas, this shows opulent fruit flavors. It looks dark, smells ripe, and feels broad textured and full bodied. It is generously proportioned and easy to drink., Designation: Round Up Red, Points: 86.0, Price: 18.0, Province: California, Title: Helwig 2012 Round Up Red Red (California), Variety: Red Blend, Winery: Helwig, Region: California, Style1: Red Blend - California, Style2: Red Blend - California, Style3: Red Blend - California Country: Portugal, Description: A bold, powerful wine, showing smooth, mature black-fruit flavors and rich tannins. It is soft, solid and powerfully built. Wood aging has given extra roundness and a touch of spice to the palate. Drink this wine now and until 2018., Designation: Reserva, Points: 91.0, Price: 15.0, Province: Alentejo, Title: Herdade dos Machados 2007 Reserva Red (Alentejo), Variety: Portuguese Red, Winery: Herdade dos Machados, Region: Alentejo, Style1: Portuguese Red - Alentejo, Style2: Portuguese Red - Alentejo, Style3: Portuguese Red - Portugal Country: Spain, Description: Lusty aromas of black cherry and blackberry are powerful. Likewise, this Tempranillo from just outside the Ribera del Duero district tastes bullish, with blackberry, currant, mocha and rich oak flavors. Robust berry fruit along with spice and chocolate are the lead flavors on a strong, dense finish. This has the potential to age nicely for seven to 15 years. Drink through 2030., Designation: VS, Points: 96.0, Price: 100.0, Province: Northern Spain, Title: Mauro 2011 VS Tempranillo (Vino de la Tierra de Castilla y León), Variety: Tempranillo, Winery: Mauro, Region: Vino de la Tierra de Castilla y León, Style1: Tempranillo - Northern Spain, Style2: Tempranillo - Northern Spain, Style3: Tempranillo - Spain Country: US, Description: Not quite as bold as its name suggests, this wine is well-balanced and fun to sip. Fruity and medium-bodied, it smells like raspberries and rhubarb, tastes like red cherries and feels nicely full on the palate, bolstered by a hearty dose of fine tannins., Designation: Anthony's Hill Dark Bold, Points: 86.0, Price: 12.0, Province: California, Title: Fetzer NV Anthony's Hill Dark Bold Red (California), Variety: Red Blend, Winery: Fetzer, Region: California, Style1: Red Blend - California, Style2: Red Blend - California, Style3: Red Blend - California Country: US, Description: Not at all shy, this bold, brash wine will be great to drink with equally bold food. A very dark color and a tempting aroma like grilled baguette slices leads to big, powerful berry flavors, full body, high alcohol, thick but soft tannins and a smoky, meaty finish., Designation: Farrah Grand Reserve, Points: 92.0, Price: 65.0, Province: California, Title: Klinker Brick 2013 Farrah Grand Reserve Syrah (Lodi), Variety: Syrah, Winery: Klinker Brick, Region: Lodi, Style1: Syrah - California, Style2: Syrah - Lodi, Style3: Syrah - Lodi"
Can you suggest a red wine that's rich with blackberry or plum flavors?,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Domaine Bousquet 2014 Gaia Red (Tupungato) | A blend of mostly Malbec and Syrah, medium in body and somewhat juicy. Blackberry, plum and peppery flavors finish chocolaty and lightly herbal. | Red Blend | Argentina | Tupungato | Domaine Bousquet | Mendoza Province |
| Wölffer 2013 Caya Cabernet Franc (Long Island) | Voluptuous blackberry and plum flavors are edged by hints of bitter coffee and spice in this richly bodied wine. | Cabernet Franc | US | Long Island | Wölffer | New York |
| Celler Dosterras 2009 Vespres Red (Montsant) | Dense and saturated, with crushed blackberry and plum aromas that turn more jammy and granular as the wine breathes. | Red Blend | Spain | Montsant | Celler Dosterras | Catalonia |
| Wölffer 2013 Lambardo Merlot (Long Island) | Ripe, rich blackberry and plum notes abound from nose to finish in this bold, deeply concentrated wine. | Merlot | US | Long Island | Wölffer | New York |
